blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
14446171,1647511550,100000000000,100000000000000000000000,914925058961331127810,90754085168740830542346768,0.001101878772884637,true
14446418,1647511797,100000000000,100000000000000000000000,914921239458528075336,90753331141926142887442885,0.001101887927877967,true
14446665,1647512044,100000000000,100000000000000000000000,914917510168015960874,90752595011474150167807858,0.001101896865729918,true
14446912,1647512291,100000000000,100000000000000000000000,914913784177744255266,90751859535264449763094572,0.001101905795783081,true
14447159,1647512538,100000000000,100000000000000000000000,914910061033905964115,90751124623266107934029785,0.001101914719130243,true
14447406,1647512785,100000000000,100000000000000000000000,914906340579908815924,90750390244413499915924043,0.001101923636148285,true
14447653,1647513032,100000000000,100000000000000000000000,914902622824695795470,90749656400479302512495232,0.001101932546815371,true
14447900,1647513279,100000000000,100000000000000000000000,914898907783160452598,90748923094417874323923819,0.001101941451095315,true
14448147,1647513526,100000000000,100000000000000000000000,914895385668807255014,90748228054467603498804456,0.001101949890856044,true
14448394,1647513773,100000000000,100000000000000000000000,914891588033755862110,90747478356328094537652028,0.001101958994467494,true
14448641,1647514020,100000000000,100000000000000000000000,914887880375592065058,90746746507291195500166786,0.001101967881481738,true
14448888,1647514267,100000000000,100000000000000000000000,914884176048869653603,90746015318677541121728222,0.001101976760619458,true
14449135,1647514514,100000000000,100000000000000000000000,914880474336033865062,90745284648138902551705854,0.001101985633608907,true
14449382,1647514761,100000000000,100000000000000000000000,914876775174364910475,90744554483231901342371316,0.001101994500600896,true
14449629,1647515008,100000000000,100000000000000000000000,914873078617390536987,90743824834575155901950497,0.001102003361466179,true
